File Name,File Id,Method Name,Method Id,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Formal Parameters,Call Pair Length,Defected?(false/true)
DataStore.java,94,DataStore,96,1,0.0,0.0,0,0,1.0,0,1,1,4,3,4,2,1.0,7,1.0,0.78,0.04,0.78,1.0,1,1,false
DataStore.java,94,allInstances,97,1,0.0,0.0,0,0,1.0,0,1,1,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
DataStore.java,94,readDataFile,98,3,1.0,0.0,2,1,11.0,1,1,33,18,11,11,4,3.23,29,0.31,1.16,0.06,0.36,0.33,0,0,false
Sorter.java,99,winners,101,9,1.88,0.0,8,15,9.0,8,1,81,56,48,20,11,16.67,104,0.06,1.5,0.08,0.09,0.11,0,3,false
UserInterface.java,102,main,104,14,2.67,0.46,11,8,6.29,3,7,88,53,45,40,12,7.69,98,0.13,1.69,0.09,0.22,0.5,1,3,false
UserInterface.java,102,showDataForYear,105,3,1.5,0.0,2,3,5.33,2,1,16,16,20,14,7,4.0,36,0.25,1.32,0.07,0.33,0.33,1,5,false
UserInterface.java,102,showDataForRange,106,6,2.25,0.0,4,9,5.5,4,1,33,23,35,18,13,8.33,58,0.12,1.5,0.08,0.18,0.17,2,5,false
UserInterface.java,102,showDataForTeam,107,14,1.23,0.0,13,16,7.0,13,1,98,117,126,35,9,14.29,243,0.07,1.71,0.1,0.12,0.07,2,5,false
WorldSeriesInstance.java,108,WorldSeriesInstance,110,1,0.0,0.0,0,0,1.0,0,1,1,5,4,5,1,0.5,9,2.0,0.78,0.04,1.56,1.0,4,0,false
WorldSeriesInstance.java,108,year,111,1,0.0,0.0,0,0,1.0,0,1,1,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
WorldSeriesInstance.java,108,winner,112,1,0.0,0.0,0,0,1.0,0,1,1,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
WorldSeriesInstance.java,108,loser,113,1,0.0,0.0,0,0,1.0,0,1,1,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
WorldSeriesInstance.java,108,score,114,1,0.0,0.0,0,0,1.0,0,1,1,1,1,1,1,0.5,2,2.0,0.3,0.02,0.6,1.0,0,0,false
